IL,Full Name,IL_smiles,Cation,Anion,T,P,lambda
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,360,0.1,0.182
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,370,0.1,0.181
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,380,0.1,0.181
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,390,0.1,0.18
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,294.7,0.1,0.169
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,294.7,10,0.171
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,294.7,20,0.173
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,314.8,0.1,0.169
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,314.8,10,0.171
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,314.8,20,0.173
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,334.9,0.1,0.168
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,334.9,10,0.171
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,334.9,20,0.173
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,288.1,0.1,0.165
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,298.1,0.1,0.159
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,308.1,0.1,0.151
13,1-butyl-3-methylimidazolium tetrafluoroborate,CCCCN1C=C[N+](=C1)C.[B-](F)(F)(F)F,CCCCN1C=C[N+](=C1)C,[B-](F)(F)(F)F,318.1,0.1,0.144
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,293.15,0.1,0.12891
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,298.15,0.1,0.12843
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303.15,0.1,0.128
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313.15,0.1,0.12636
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323.15,0.1,0.12498
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,333.15,0.1,0.1241
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,343.15,0.1,0.1238
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,348.15,0.1,0.1237
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,353.15,0.1,0.1234
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,273.15,0.1,0.1238
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,283.15,0.1,0.1224
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,293.15,0.1,0.1219
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303.15,0.1,0.1237
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313.15,0.1,0.122
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323.15,0.1,0.1201
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,333.15,0.1,0.1208
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,343.15,0.1,0.1212
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,353.15,0.1,0.1209
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,285.54,0.1,0.1242
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,295.26,0.1,0.125
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,304.95,0.1,0.1249
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,305.14,0.1,0.1249
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,315.46,0.1,0.1264
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,325.63,0.1,0.1268
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,335.67,0.1,0.1281
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,345.9,0.1,0.1286
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,355.87,0.1,0.128
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,293,0.1,0.127
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,303,0.1,0.127
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,313,0.1,0.127
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,323,0.1,0.126
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,333,0.1,0.125
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,343,0.1,0.125
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,353,0.1,0.125
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,300,0.1,0.12
14,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,CCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,CCCCCCN1C=C[N+](=C1)C,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,375,0.1,0.12
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.27375,0.2013
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.28454,0.2026
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.29467,0.2044
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.30431,0.208
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.31453,0.2069
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.32458,0.2085
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.33471,0.212
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.34526,0.2121
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],100,0.35551,0.2101
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],293.15,0.1,0.1936
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],303.15,0.1,0.1942
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],313.15,0.1,0.1948
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],323.15,0.1,0.1955
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],333.15,0.1,0.1961
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],343.15,0.1,0.1967
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],353.15,0.1,0.1973
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],283.15,0.101,0.187
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],293.15,0.101,0.187
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],303.15,0.101,0.187
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],313.15,0.101,0.188
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],323.15,0.101,0.185
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],333.15,0.101,0.186
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],300,0.1,0.21
15,1-ethyl-3-methylimidazolium methanesulfonate,CCN1C=C[N+](=C1)C.CS(=O)(=O)[O-],CCN1C=C[N+](=C1)C,CS(=O)(=O)[O-],375,0.1,0.21
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,282.19,0.1,0.126
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,292.99,0.1,0.125
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,298.41,0.1,0.125
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,303.54,0.1,0.125
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,314.37,0.1,0.123
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,325.65,0.1,0.123
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,334.58,0.1,0.123
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,344.18,0.1,0.123
16,trihexyl(tetradecyl)phosphonium tris(pentafluoroethyl)trifluorophosphate,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,C(C(F)(F)[P-](C(C(F)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)(F)F)(F)(F)F,355.07,0.1,0.121
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],283.34,0.1,0.157
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],293.28,0.1,0.156
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],298.36,0.1,0.155
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],303.45,0.1,0.155
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],313.5,0.1,0.153
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],323.6,0.1,0.153
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],333.58,0.1,0.153
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],343.61,0.1,0.153
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],353.51,0.1,0.153
17,tributylmethylphosphonium methyl sulfate,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],CCCC[P+](C)(CCCC)CCCC,COS(=O)(=O)[O-],282.47,0.1,0.137
