IL_smiles,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,SPS,MolWt,NumRadicalElectrons,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BertzCT,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA8,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState8,NHOHCount,NumAromaticHeterocycles,NumHeterocycles,Phi,MolLogP,fr_Al_OH,fr_COO2,fr_NH0,fr_ether,fr_imidazole,fr_pyridine,fr_quatN,fr_sulfonamd
CCCC[N+]1(C)CCCC1.N#C[N-]C#N,-1.855458958576803,0.5408828425534443,0.7417447258884822,2.7355008426475633,-1.023831048288296,-0.3244035556530825,0.3192081103343694,-0.9870738440023942,-1.749084859675079,-0.8530993530139851,0.02287235149584991,-0.5216995710039316,-0.5560993143679183,-0.05551163521764102,-1.090290722650163,-0.2515975855963512,-0.08708625912809387,0.7554423642385231,-1.446059449679797,-0.9617002739995918,-0.751216228806667,-0.4407807866190748,-0.8527808164849586,1.9216553233109936,-1.6521849813754519,-0.955920541845813,-0.2818350986128138,-0.18819126752285845,-0.5208144953091776,1.0427599124774194,0.9619929267112486,-1.5432313173938987,3.4632076229026207,-0.8831440507728691,-0.7853927999503636,0.8636537330174945,-0.7400160676066238,-1.023266872755206,-0.055470019622522924,-0.3429790065130864,-0.18809426628307122,-1.8203555183194717,-0.21248752536815557,1.5548946324807786,-0.1436626544632808,-0.8206383911763637,-0.14796880214517222,-0.8375196165111656,0.9656292664736862,0.06850221844813442,-0.5128360238482755,2.235920641541745,0.7394948478562299,0.30361120282078624,0.38405343383855783,-0.4756873186624688,-0.3757528421268353,-1.0765409408615136,0.7784030640030019,-0.7050494580229825,0.03886487161896809,-0.25621266152270566,-0.43200082715741694,2.0191043555378396,-0.3704557164340162,-0.7937253933193772,-0.36324157862838946,1.6574457568142642,-0.8092109335799786
CC[n+]1ccn(C)c1.F[B-](F)(F)F,-0.5872429297806107,-0.6570288235571492,-0.010017310524244129,-0.7517264023791501,-1.105857781938595,-0.3244035556530825,0.6390870168223595,-0.6924780761870727,-0.5801578831172853,-0.22724748630274916,-0.49703393122114475,-1.0125808072391174,-0.14969183573160122,-0.05551163521764102,-0.7779126785320357,-0.6887225694381229,-0.07892656748407814,1.1244417662577235,0.7087243633100945,-0.8394325751308844,0.4861887774929491,-0.4407807866190748,-0.06922933002376569,-0.32573925045847585,-0.4818330526364856,-0.955920541845813,-0.2818350986128138,-0.7056923008845326,-0.4788272953998509,-0.9925721655519276,-0.33832665316647315,-0.7334760305631702,-0.3196045904364965,0.509858047514604,1.137981765218442,-0.9172415628021938,0.2889664874158872,-0.09204215254895799,-0.055470019622522924,-0.3429790065130864,-1.0574118966436192,-0.4559415856436881,-0.21248752536815557,-0.9358633170443804,-1.6927351437625484,0.749891904082357,-0.14796880214517222,-0.8375196165111656,-0.6600246976578104,0.06850221844813442,-0.5128360238482755,-0.5094530862079495,0.7394948478562299,0.30361120282078624,0.38405343383855783,0.7425627472768902,-0.3757528421268353,0.928901040400506,0.7784030640030019,-0.7018528625242002,-0.22247448130428096,-0.25621266152270566,-0.43200082715741694,0.027491587291740692,-0.3704557164340162,1.2598815766974243,-0.36324157862838946,-0.6033379951583305,-0.8092109335799786
CCCCCn1cc[n+](CCCC)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7349937360340599,-0.2930408291380768,-0.42100429070462975,-0.3724356530409241,1.0962152297307501,-0.3244035556530825,-0.6845498376107017,0.2230157299521921,0.8046333102828207,-0.23909946520668313,1.0999882108876486,1.0337440797938096,-0.6995737833923553,-0.05551163521764102,0.915011236839006,0.168317118514839,-0.07551690633112272,-1.024173905187211,0.7087243633100945,0.948664590342554,0.4861887774929491,-0.4407807866190748,0.33713305163939505,-0.32573925045847585,1.6752875919955492,1.0035482347279536,-0.2818350986128138,0.3293097658388157,0.5965115467223476,0.01216781040265434,-0.4685029109579972,0.694418566063916,-0.3196045904364965,0.509858047514604,-0.7853927999503636,-0.9172415628021938,0.6075161998911167,-0.09204215254895799,-0.055470019622522924,-0.3429790065130864,-0.12129009326408678,1.5257215734854133,-0.21248752536815557,0.9977018344780794,0.7209700135757089,-0.8206383911763637,-0.14796880214517222,1.1143514307917206,-0.6600246976578104,0.06850221844813442,-0.5128360238482755,-0.5094530862079495,-1.0409180604116541,0.30361120282078624,0.38405343383855783,0.10647695527995638,-0.3757528421268353,0.928901040400506,0.7784030640030019,0.45429845696149185,0.5771219788788027,-0.25621266152270566,-0.43200082715741694,1.02329797141479,-0.3704557164340162,1.2598815766974243,-0.36324157862838946,-0.6033379951583305,1.235771735777177
CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7349937360340599,-0.7151631255108015,-0.42100429070462975,-0.8983854921232641,0.6509839274524364,-0.3244035556530825,-0.34040425545810593,0.22301568519367806,0.8046285787725032,-0.23884431445619517,0.5616118435117131,0.285275059503055,-0.6995737833923553,-0.05551163521764102,1.1170815708047164,-0.21446229824278368,-0.08390085212712732,-1.024173905187211,0.7087243633100945,0.948664590342554,0.4861887774929491,-0.4407807866190748,0.33713305163939505,-0.32573925045847585,1.6752875919955492,1.0035482347279536,-0.2818350986128138,-0.18819126752285845,-0.5208144953091776,-0.6834214037197485,-0.33832665316647315,0.694418566063916,-0.3196045904364965,0.509858047514604,1.137981765218442,-0.9172415628021938,0.6075161998911167,-0.09204215254895799,-0.055470019622522924,-0.3429790065130864,-0.12129009326408678,1.574227826388709,-0.21248752536815557,0.9977018344780794,0.7209700135757089,0.749891904082357,-0.14796880214517222,1.1143514307917206,-0.6600246976578104,0.06850221844813442,-0.5128360238482755,-0.5094530862079495,-1.0409180604116541,0.30361120282078624,0.38405343383855783,0.6381139289383886,-0.3757528421268353,0.928901040400506,0.7784030640030019,0.3327539101913049,-0.025738817388207852,-0.25621266152270566,-0.43200082715741694,1.02329797141479,-0.3704557164340162,1.2598815766974243,-0.36324157862838946,-0.6033379951583305,1.235771735777177
CCCCC[P+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7349937360340599,0.03961153528474059,-0.7686077374020682,0.18978874165713794,1.048389446262592,-0.3244035556530825,-1.0828664836206505,0.22301595671076355,0.8046643373589505,1.7530107339446277,0.35206421916904573,0.5897354176873222,1.2453023522722242,-0.05551163521764102,0.5685245619104156,0.16892057092955634,-0.07568316105908164,-1.024173905187211,-1.446059449679797,0.8263968914738467,-0.751216228806667,-0.4407807866190748,0.33713305163939505,-0.32573925045847585,0.5049356632565828,1.0035482347279536,-0.2818350986128138,0.06118800308100665,1.2811361674660902,0.5762246722909428,0.7240439177245063,1.5050747400485407,-0.3196045904364965,-0.8831440507728691,-0.7853927999503636,0.7283793128462115,-0.8318120980932474,-1.023266872755206,-0.055470019622522924,1.3524054427483772,0.7826142533313619,0.209813893712925,-0.21248752536815557,0.9977018344780794,0.46284009810896876,-0.8206383911763637,-0.14796880214517222,1.1143514307917206,-0.6600246976578104,0.06850221844813442,-0.5128360238482755,-0.5094530862079495,-1.0409180604116541,0.30361120282078624,0.38405343383855783,-0.06904434735094785,-0.3757528421268353,-1.0765409408615136,-1.2846814796147101,0.3397168141115718,1.1197404550736438,-0.25621266152270566,-0.43200082715741694,-0.9683147968313087,-0.3704557164340162,-0.7937253933193772,-0.36324157862838946,-0.6033379951583305,1.235771735777177
CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,-0.5872429297806107,-0.7151631255108015,-0.010017310524244129,-0.26286276989876967,-0.8832421307994371,-0.3244035556530825,0.46260210289795145,-0.6924779518691393,-0.5801556097025685,-0.23884274362619481,0.01080403518028306,-0.6832952306844716,-0.14969183573160122,-0.05551163521764102,-0.7717277827904033,-0.47153297389029836,-0.07125310289528657,1.1244417662577235,0.7087243633100945,-0.8394325751308844,0.4861887774929491,-0.4407807866190748,-0.06922933002376569,-0.32573925045847585,-0.4818330526364856,-0.955920541845813,-0.2818350986128138,-0.18819126752285845,-0.5208144953091776,-0.6834214037197485,-0.33832665316647315,-0.7334760305631702,-0.3196045904364965,0.509858047514604,1.137981765218442,-0.9172415628021938,0.2889664874158872,-0.09204215254895799,-0.055470019622522924,-0.3429790065130864,-1.0574118966436192,-0.4559415856436881,-0.21248752536815557,-0.9358633170443804,-1.6927351437625484,0.749891904082357,-0.14796880214517222,-0.8375196165111656,-0.6600246976578104,0.06850221844813442,-0.5128360238482755,-0.5094530862079495,0.7394948478562299,0.30361120282078624,0.38405343383855783,0.6381139289383886,-0.3757528421268353,0.928901040400506,0.7784030640030019,-0.597383422604027,0.06203555574357863,-0.25621266152270566,-0.43200082715741694,0.027491587291740692,-0.3704557164340162,1.2598815766974243,-0.36324157862838946,-0.6033379951583305,-0.8092109335799786
CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.12336410750942385,-0.6193626884308386,-2.6629072820447335,0.34178435448485855,-0.19912790409347944,-0.3244035556530825,-0.23172670319939132,0.220358037166366,0.5726970751591626,-0.23884353675213105,0.3664905532415645,-0.1500305545529455,0.20909785376240736,-0.05551163521764102,-0.3959979322673763,-0.5788123774945914,-0.03768555920635634,-1.6993197332573924,0.7087243633100945,-0.8394325751308844,0.4861887774929491,-0.4407807866190748,2.710475830295473,-0.32573925045847585,-0.4818330526364856,-0.955920541845813,-0.2818350986128138,0.06118800308100665,0.03784852570658509,-0.3742706418875694,-0.33832665316647315,-0.6716259148396615,-0.3196045904364965,0.509858047514604,1.137981765218442,-0.9172415628021938,0.2889664874158872,-0.09204215254895799,-0.055470019622522924,1.4798730148554193,-1.3871070320550383,-0.4559415856436881,-0.21248752536815557,-0.9358633170443804,-1.6927351437625484,0.749891904082357,-0.14796880214517222,-0.8375196165111656,-0.6600246976578104,0.06850221844813442,-0.5128360238482755,-0.5094530862079495,0.7394948478562299,0.30361120282078624,0.38405343383855783,0.5781912990620282,-0.3757528421268353,0.928901040400506,0.7784030640030019,-0.6381459623465502,1.10591972910067,-0.25621266152270566,-0.43200082715741694,0.027491587291740692,-0.3704557164340162,1.2598815766974243,-0.36324157862838946,-0.6033379951583305,-0.8092109335799786
CC[n+]1ccn(C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,0.26409670883561703,-0.6570288235571492,0.43422309166496403,-0.6037808293916667,-0.43617778455544753,-0.3244035556530825,0.3343022148147465,0.21949945450739336,0.5735866726147153,-0.22724785769140227,0.5517843879326384,0.2873604401416082,-1.1937636211431901,-0.05551163521764102,-0.5361375857747456,-0.4692254210844142,-0.09291996127912949,-0.9545968457902402,2.1538049997678868,-0.8394325751308844,0.4861887774929491,-0.4407807866190748,-0.8527808164849586,-0.32573925045847585,0.5967272696795319,-0.955920541845813,-0.2818350986128138,-0.01509614869674186,1.181203333024212,-0.7607090941777932,0.39207166640413266,-0.4138205759314654,-0.3196045904364965,0.509858047514604,1.137981765218442,-0.9172415628021938,2.5837467993752083,-0.09204215254895799,-0.055470019622522924,-0.3429790065130864,-0.7976273674732073,0.5687473783843561,-0.21248752536815557,-0.9358633170443804,-0.016795170471114406,0.749891904082357,-0.14796880214517222,-0.8375196165111656,-0.6600246976578104,0.06850221844813442,-0.8264115357460857,-0.5094530862079495,0.6085942495896429,0.30361120282078624,-2.4121163062480235,0.45346637693435077,-0.3757528421268353,0.928901040400506,0.7784030640030019,-0.6183252976097404,-0.36866056647698775,-0.25621266152270566,-0.43200082715741694,0.027491587291740692,-0.3704557164340162,1.2598815766974243,-0.36324157862838946,-0.6033379951583305,-0.8092109335799786
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.7349937360340599,0.03961153528474059,-0.42100429070462975,1.1059554010462957,0.675138844472026,-0.3244035556530825,-0.5985134420725525,0.22301568516222864,0.8046286914634537,-0.8530993792992498,0.25890985437070607,0.3041644792300572,0.49604679181127986,-0.05551163521764102,0.6175735963360175,-0.20891592480693616,-0.08366578078589632,-0.29085541030568296,-1.446059449679797,0.8263968914738467,-0.751216228806667,-0.4407807866190748,0.33713305163939505,-0.32573925045847585,0.5049356632565828,1.0035482347279536,-0.2818350986128138,-0.18819126752285845,-0.5208144953091776,0.3443805675018486,0.9619929267112486,0.694418566063916,-0.3196045904364965,-0.8831440507728691,-0.7853927999503636,0.8636537330174945,-0.8318120980932474,-1.023266872755206,-0.055470019622522924,-0.3429790065130864,1.0777226725078797,0.209813893712925,-0.21248752536815557,0.9977018344780794,0.46284009810896876,-0.8206383911763637,-0.14796880214517222,1.1143514307917206,-0.6600246976578104,0.06850221844813442,-0.5128360238482755,-0.5094530862079495,-1.0409180604116541,0.30361120282078624,0.38405343383855783,-0.4756873186624688,-0.3757528421268353,-1.0765409408615136,0.7784030640030019,0.047277506605741315,0.3076360555535419,-0.25621266152270566,-0.43200082715741694,0.027491587291740692,-0.3704557164340162,-0.7937253933193772,-0.36324157862838946,1.6574457568142642,1.235771735777177
CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,0.12336410750942385,-0.5512732168159755,-2.6629072820447335,0.5868287817933197,0.023487747045677465,-0.3244035556530825,-0.47970127680558483,0.220358037166366,0.5726970751591626,-0.23884353675213105,0.6902407192019222,0.2076840986335524,0.20909785376240736,-0.05551163521764102,-0.3714454586269822,-0.40136732503163275,-0.030308397512127376,-1.6993197332573924,0.7087243633100945,-0.8394325751308844,0.4861887774929491,-0.4407807866190748,2.710475830295473,-0.32573925045847585,-0.4818330526364856,-0.955920541845813,-0.2818350986128138,0.5599465442887369,0.03784852570658509,-0.0651198800553904,-0.33832665316647315,-0.6716259148396615,-0.3196045904364965,0.509858047514604,1.137981765218442,-0.9172415628021938,0.2889664874158872,-0.09204215254895799,-0.055470019622522924,1.4798730148554193,-1.3871070320550383,-0.4559415856436881,-0.21248752536815557,-0.9358633170443804,-1.6927351437625484,0.749891904082357,-0.14796880214517222,-0.8375196165111656,-0.6600246976578104,0.06850221844813442,-0.5128360238482755,-0.5094530862079495,0.7394948478562299,0.30361120282078624,0.38405343383855783,0.5395392607857362,-0.3757528421268353,0.928901040400506,0.7784030640030019,-0.5420439293755556,1.3904297661485294,-0.25621266152270566,-0.43200082715741694,0.027491587291740692,-0.3704557164340162,1.2598815766974243,-0.36324157862838946,-0.6033379951583305,-0.8092109335799786
