IL_smiles,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,SPS,MolWt,BCUT2D_MWHI,BCUT2D_MRLOW,BertzCT,HallKierAlpha,Ipc,Kappa1,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA7,SlogP_VSA1,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA8,TPSA,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA6,EState_VSA8,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState8,NumAliphaticHeterocycles,NumHeterocycles,MolLogP,fr_NH0,fr_Ndealkylation1,fr_ether,fr_quatN
CCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4515726919955696,0.18935094427866836,-0.29097848589345526,0.25200518417637596,0.9293523116986285,0.7487160025579076,1.4065930924123935,0.606118445767562,1.3194912854443803,-0.12837088615832942,0.3415666129432788,0.19991635953214473,-0.7910820630141254,-1.174851892203202,1.1308793694616406,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,0.30613002228540737,0.8268862688363909,-0.37134372443570424,0.1430384748073238,0.9994688197828744,0.32341105322900615,1.5763219947243161,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-0.9403612675143385,-0.9757778215675068,1.5195098202759363,0.5957764341095828,0.2806293776056855,0.7903154527575308,0.6975562383135268,-0.7498877432857705,-0.2055566129482595,1.2817398889233114,-0.11704114719613053,-0.6477119471011874,-0.2878200879276962,-0.4011147404754536,-1.1257527026852265,0.36365839101869557,-0.07014788381721537,0.0011910886192518563,-0.332422584818903,-1.2874232262686238,0.8918087157540023,-0.9882507477608992,-0.32686022523030667,-0.45732956038002354,-0.5877538136452587
CCCCCCCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4515726919955696,0.18935094427866836,-0.4382806212788152,0.5418187366327751,1.3074233771682953,0.7487160701475191,1.4065909713612343,1.3890988888294769,1.3194912854443803,-0.12782637657715526,0.34029851163005015,0.6131848114472204,-0.7910820630141254,-1.174851892203202,1.1308793694616406,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,0.30613002228540737,0.8268862688363909,-0.37134372443570424,0.8379643125231325,1.5181716678432506,0.32341105322900615,1.5763219947243161,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-0.9403612675143385,-0.9757778215675068,1.5195098202759363,0.5957764341095828,0.2806293776056855,0.7903154527575308,0.6975562383135268,-0.7498877432857705,-0.2055566129482595,1.2817398889233114,-0.11704114719613053,-0.6477119471011874,-0.2878200879276962,-0.4011147404754536,-1.1257527026852265,0.36365839101869557,-0.07014788381721537,-0.06331311901284921,-0.332422584818903,-1.2874232262686238,1.3943099907583174,-0.9882507477608992,-0.32686022523030667,-0.45732956038002354,-0.5877538136452587
CCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4515726919955696,0.18935094427866836,-1.0492009224669248,0.8486801451160224,1.8115181311278712,0.7487161606380143,1.4065880283682048,2.3110610442025563,1.3194912854443803,-0.05860288047336391,0.388907064761946,1.3226947532753013,-0.7910820630141254,-1.174851892203202,1.1308793694616406,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,0.30613002228540737,0.8268862688363909,-0.37134372443570424,2.30615835796864,1.4012198774663809,0.32341105322900615,1.5763219947243161,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-0.9403612675143385,-0.9757778215675068,1.5195098202759363,0.5957764341095828,0.2806293776056855,0.7903154527575308,0.6975562383135268,-0.7498877432857705,-0.2055566129482595,1.2817398889233114,-0.11704114719613053,-0.6477119471011874,-0.2878200879276962,-0.4011147404754536,-1.1257527026852265,0.36365839101869557,-0.07014788381721537,-0.10514020302102701,-0.332422584818903,-1.2874232262686238,2.064311690764071,-0.9882507477608992,-0.32686022523030667,-0.45732956038002354,-0.5877538136452587
CCCCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4515726919955696,0.18935094427866836,-1.1978961961366748,1.0909391518133216,2.3156128850874325,0.7487162508318234,1.4065852008767077,3.406702335082356,1.3194912854443803,8.509365412816019,0.4706828094969003,2.0673190303449953,-0.7910820630141254,-1.174851892203202,1.1308793694616406,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,0.30613002228540737,0.8268862688363909,-0.37134372443570424,3.6960100334002566,1.4012198774663809,0.32341105322900615,1.5763219947243161,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-0.9403612675143385,-0.9757778215675068,1.5195098202759363,0.5957764341095828,0.2806293776056855,0.7903154527575308,0.6975562383135268,-0.7498877432857705,-0.2055566129482595,1.2817398889233114,-0.11704114719613053,-0.6477119471011874,-0.2878200879276962,-0.4011147404754536,-1.1257527026852265,0.36365839101869557,-0.07014788381721537,-0.1430525079035694,-0.332422584818903,-1.2874232262686238,2.7343133907698185,-0.9882507477608992,-0.32686022523030667,-0.45732956038002354,-0.5877538136452587
CCCC[P+](CC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4515726919955696,0.18935094427866836,-0.6808100172913029,0.5418187366327751,1.3074233771682953,0.7487160703714174,1.4065909056590025,1.2412342759576582,1.3194912854443803,-0.12782730884972665,0.34029851163005015,0.6131848114472204,-0.7910820630141254,-1.174851892203202,1.1308793694616406,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,0.30613002228540737,0.8268862688363909,-0.37134372443570424,1.2376554780569637,0.9215009595316279,0.32341105322900615,1.5763219947243161,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-0.9403612675143385,-0.9757778215675068,1.5195098202759363,0.5957764341095828,0.2806293776056855,0.7903154527575308,0.6975562383135268,-0.7498877432857705,-0.2055566129482595,1.2817398889233114,-0.11704114719613053,-0.6477119471011874,-0.2878200879276962,-0.4011147404754536,-1.1257527026852265,0.36365839101869557,-0.07014788381721537,-0.06492164178482646,-0.332422584818903,-1.2874232262686238,1.3943099907583174,-0.9882507477608992,-0.32686022523030667,-0.45732956038002354,-0.5877538136452587
CCCCCCCC[P+](CCCC)(CCCC)CCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4515726919955696,0.18935094427866836,-1.1368202139013752,0.9765390653173748,2.0635655081076525,0.7487162057299586,1.4065866133026548,2.8558724491326832,1.3194912854443803,0.6488052289949193,0.42668890644787333,1.691085085915344,-0.7910820630141254,-1.174851892203202,1.1308793694616406,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,0.30613002228540737,0.8268862688363909,-0.37134372443570424,3.0010841956844487,1.4012198774663809,0.32341105322900615,1.5763219947243161,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-0.9403612675143385,-0.9757778215675068,1.5195098202759363,0.5957764341095828,0.2806293776056855,0.7903154527575308,0.6975562383135268,-0.7498877432857705,-0.2055566129482595,1.2817398889233114,-0.11704114719613053,-0.6477119471011874,-0.2878200879276962,-0.4011147404754536,-1.1257527026852265,0.36365839101869557,-0.07014788381721537,-0.12528834516871024,-0.332422584818903,-1.2874232262686238,2.399312540766945,-0.9882507477608992,-0.32686022523030667,-0.45732956038002354,-0.5877538136452587
CCOCC[P+](CC)(CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.4515726919955696,0.18935094427866836,-0.194096197416182,0.040181325238144244,0.9470694795678855,0.7487160087085328,1.4065910485970035,0.40087354789726015,1.2601395021032877,-0.1283792159513721,0.5367170157798303,0.1932704626145506,0.045035878392730155,-1.174851892203202,1.1308793694616406,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,0.30613002228540737,0.8268862688363909,-0.37134372443570424,-0.9254644051043527,1.0384527499084977,1.3527616737569799,1.5763219947243161,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-0.9403612675143385,-0.9757778215675068,1.5195098202759363,1.1480421835502013,0.8538759388910654,0.7903154527575308,0.9810396271162175,-0.7498877432857705,-0.2055566129482595,1.2817398889233114,-0.11704114719613053,0.29847544646206514,-0.2878200879276962,-0.4011147404754536,-1.1257527026852265,0.36365839101869557,-0.07014788381721537,-1.0260578672397336,-0.332422584818903,-1.2874232262686238,0.39643511840932283,-0.9882507477608992,-0.32686022523030667,1.6578196563775853,-0.5877538136452587
CCOCC[P+](CCCC)(CCCC)CCCC.[O-]C(=O)C(F)(F)F,-0.18894820468740264,2.774925808430688,-0.8926357900387429,1.3355805062176782,0.2016277273974549,0.5901749921469832,0.5907082064535287,0.6211165051425214,0.9930564770683711,-0.12795772006677478,-0.6865185419629743,1.6044041684708812,1.0641625976223887,-0.35068281546460495,-0.9401068061032477,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,-1.9825437454792616,-0.17627602318732488,-0.37134372443570424,1.2376554780569637,0.9215009595316279,1.3527616737569799,-0.01641539851197943,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-1.2892569231234163,0.3818525421476165,1.5195098202759363,0.4867931369353947,-0.9918988923541657,-0.7845803427584016,-0.31659560331863223,-0.7498877432857705,-0.2055566129482595,-0.7801894976054939,-0.11704114719613053,0.29847544646206514,3.3130259181315194,0.7524601663082541,0.8074077448140042,-0.2510156940514685,-0.07014788381721537,-1.2698062054882189,-0.332422584818903,-1.2874232262686238,0.6454315205070774,-1.7123156520609637,-0.32686022523030667,1.6578196563775853,-0.5877538136452587
CCOCC[P+](CCCC)(CCCC)CCCC.CS([O-])(=O)=O,-0.8706270706351448,3.2259918283450593,-0.8926357900387429,2.014203868367064,0.04067282761158718,0.7416286487544878,1.9729851538461654,0.938909428500874,1.9575229563611256,-0.12782706451807194,-0.9736871931491676,2.719671997620787,0.12011546665379158,-1.174851892203202,-0.9401068061032477,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,-0.8382068615969271,-1.1794383152110404,-0.37134372443570424,1.2376554780569637,0.9215009595316279,2.2176581463919907,0.4529923744026686,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-1.2892569231234163,-0.9757778215675068,1.5195098202759363,0.7818660123905284,-0.3476477276845229,-0.7845803427584016,0.20767974303693904,-0.7498877432857705,-0.2055566129482595,-0.7801894976054939,-0.11704114719613053,0.29847544646206514,-0.2878200879276962,-0.4011147404754536,0.8074077448140042,0.36365839101869557,-0.07014788381721537,-1.2698062054882189,-0.332422584818903,-1.2874232262686238,0.5865208352720164,-1.7123156520609637,-0.32686022523030667,1.6578196563775853,-0.5877538136452587
CCOCC[P+](CCCC)(CCCC)CCCC.FC(F)(F)S([O-])(=O)=O,-0.08766101469988406,4.063325456346142,-0.8926357900387429,1.290386478691766,0.5255590091043745,0.7417119070313404,1.3865016536430324,0.9784510588037997,1.64592609382039,-0.12782706451807194,-0.49762164354249544,1.2629332320827873,0.12011546665379158,-1.174851892203202,0.1051836342800213,-0.7760138587182511,-0.26917851135846255,-0.32134997848501146,-0.8382068615969271,-0.17627602318732488,-0.37134372443570424,1.2376554780569637,0.9215009595316279,1.3527616737569799,0.4529923744026686,-0.28670801650267835,-0.833347902166137,-0.9671232533582276,-1.2892569231234163,-0.9757778215675068,1.5195098202759363,0.7534235634505327,-0.3476477276845229,-0.7845803427584016,0.20767974303693904,-0.7498877432857705,-0.2055566129482595,-0.7801894976054939,-0.11704114719613053,0.29847544646206514,-0.2878200879276962,-0.4011147404754536,-0.07234430604403762,0.36365839101869557,-0.07014788381721537,-1.2698062054882189,-0.332422584818903,-1.2874232262686238,0.9686674085898329,-1.7123156520609637,-0.32686022523030667,1.6578196563775853,-0.5877538136452587
