IL_smiles,CF2,CF3,CH,CH2,CH2CO,CH2O,CH3,CH3CO,CH3COO,CH3O,CH=CH2,CN,N,N-CH,N-CH2,N-CH3,NH,NH2,NH2CO,NH3,NHCO,OH,P-CH2,S,S-CH2,S-CH3,[(CH2)PO4]-,[124Tz14]+,[BF4]-,[Br]-,[C(CN)3]-,[CF2BF3]-,[CF3COO]-,[CF3SO3]-,[CH2COO]-,[CH2HPO3]-,[CH2SO3]-,[CH2SO4]-,[CH3HPO3]-,[CH3SO3]-,[CH3SO4]-,[CHCOO]-,[CO3]-,[CTf3]-,[Cl]-,[FAP]-,[FSI]-,[H2PO4]-,[HCO3]-,[HCOO]-,[HSO4]-,[I]-,[Im123]+,[Im13]+,[Im1]+,[Im]-,[Mor11]+,[N(SO2CF2)2]-,[NH2]+,[NH2]-,[NH3]+,[NH]+,[NO3]-,[NTf2]-,[N]+,[OTs]-,[PF6]-,[PFHA]-,[P]+,[PhBF3]-,[PhCOO-],[Pip11]+,[Py12]+,[Py13]+,[Py14]+,[Py1]+,[Pyr11]+,[Pyr1]+,[Pyr]+,[SA]-,[SCN]-,[S]+,[SbF6]-,[TCB]-,[TFB]-,[TMG]+,aC-CH3,aN-CH2,aN-CH3,aN-Cp,cN-CH2,cN-CH3
C=CC[n+]1ccn(C)c1.O=C[O-],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C=CC[n+]1ccn(C)c1.CCCC(=O)[O-],0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C=CCn1cc[n+](C)c1.CCC(=O)[O-],0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C=CC[n+]1ccn(C)c1.CC(=O)[O-],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C=CC[n+]1ccn(C)c1.O=C([O-])CO,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C=CC[n+]1ccn(C)c1.CC(O)C(=O)[O-],0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C=CC[n+]1ccn(C)c1.O=C([O-])c1ccccc1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
CCC[N+](C)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0,0,0,1,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC[N+](C)(C)CCOC.F[B-](F)(F)F,0,0,0,1,0,0,1,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC[N+](CC)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,1,0,1,0,0,3,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CC[N+](C)(CC)CCOC.F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,2,1,0,1,0,0,2,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCC[N+](C)(CC)CC.F[B-](F)(F)C(F)(F)F,0,0,0,2,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
