Ion,SMILES
161,CCCC[N+](C)(CC)CC
162,CCC[N+](C)(CC)CCC
163,CCCCCC[N+](C)(C)C
164,CCCCCCCC[N+](C)(C)C
165,CCC[n+]1ccn(C)c1
166,CCCCOCC(O)CN(CCC[n+]1cc[nH]c1)C(C)=O
167,CCSCC[P+](CC)(CC)CC
168,CCCC[P+](CCCC)(CCCC)CSC
169,CCCC[P+](CCCC)(CCCC)CCSC
170,CCCC[P+](CCCC)(CCCC)CCSCC
171,CC[P+](CC)(CC)CCSC
172,CC[P+](CC)(CC)CSC
173,CCCCCCC[N+](C)(C)C
174,CCCCCCC[N+](CCCC)(CCCC)CCCC
175,CCCCCCCC[N+](CCCC)(CCCC)CCCC
176,CCCCCCC[N+](CC)(C(C)C)C(C)C
177,CCCCCC[N+](CCCC)(CCCC)CCCC
178,CCCCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC
179,CCCCCCCCCC[n+]1ccn(CC)c1
180,CCCCCCCCn1cc[n+](CC)c1
181,CCCCCCn1cc[n+](CC)c1
182,C=CC[n+]1ccn(C)c1
183,C=CCn1cc[n+](C)c1
184,CCC[N+](C)(CC)CC
185,CC[N+](CC)(CC)CCOC
186,COCC[N+](C)(C)C
187,N#C[N-]C#N
188,F[B-](F)(F)F
189,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
190,F[P-](F)(F)(F)(F)F
191,Cc1ccc(S(=O)(=O)[O-])cc1
192,O=[N+]([O-])[O-]
193,[Br-]
194,CCOS(=O)(=O)[O-]
195,[I-]
196,[Cl-]
197,O=S(=O)(F)[N-]S(=O)(=O)F
198,CCCCCCCCOS(=O)(=O)[O-]
199,O=S(=O)([O-])C(F)(F)F
200,CS(=O)(=O)[O-]
201,CC(=O)[O-]
202,CCO[PH](=O)[O-]
203,CCCCO[PH](=O)[O-]
204,CCCCCCCCO[PH](=O)[O-]
205,O=C([O-])C(F)(F)F
206,N#C[B-](C#N)(C#N)C#N
207,NCC(=O)[O-]
208,NCCC(=O)[O-]
209,O=C([O-])O
210,O=P([O-])(O)O
211,O=C[O-]
212,[F][Sb-]([F])([F])([F])([F])[F]
213,F[B-](F)(F)C(F)(F)F
214,F[B-](F)(F)c1ccccc1
215,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
216,CCCCCC(=O)[O-]
217,CCCCCCCC(=O)[O-]
218,CCCCCCCCCC(=O)[O-]
219,CCCC(=O)[O-]
220,COS(=O)(=O)[O-]
221,N#C[C-](C#N)C#N
222,O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
223,O=S(=O)([O-])O
224,CCC(=O)[O-]
225,O=C([O-])CO
226,O=C([O-])c1ccccc1
227,CC(O)C(=O)[O-]
228,N#C[S-]
229,O=C([O-])c1ccccc1O
230,NCCS(=O)(=O)[O-]
231,O=C([O-])C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
232,CCS(=O)(=O)[O-]
233,O=S(=O)([C-](S(=O)(=O)C(F)(F)F)S(=O)(=O)C(F)(F)F)C(F)(F)F
234,c1c[n-]cn1
235,CO[PH](=O)[O-]
236,CCOP(=O)([O-])OCC
237,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
238,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
239,F[B-](F)(F)C(F)(F)C(F)(F)F
