Abbreviation,Ion Full Name,SMILES,B-CF2,B-F,CF2,CF3,CF3O,CH2,CH2O,CH3,CH3COO,CH3O,N(CH3)2,N-CH2,N-CH3,OH,P-CH2,[3triz]-,[4triz]-,[ABN]+,[BF4]-,[B]-,[CF3COO]-,[CF3COO]-],[CF3SO3]-,[CH3SO3]-,[CH3SO4]-,[FAP]-,[Im13]+,[Ind]-,[N(SO2CF2CF3)2]-,[N(SO2CF3)SO2CF2]-,[N(SO2F)]-,[NTf2]-,[N]+,[PF6]-,[P]+,[Pipz]+,[Py1]+,[Pyr11]+,[Pyr]-,[Pz]-,[TCB]-,[TCM]-,[Tz]-,aC-CF3,aC-CH3,aC-CN,aC-NOO,aN-CH2,aN-CH3,cN-CH2,cN-CH3
"[P2,2,2,5]",triethylpentylphosphonium,CCCCC[P+](CC)(CC)CC,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P2,2,2,8]",triethyloctylphosphonium,CCCCCCCC[P+](CC)(CC)CC,0,0,0,0,0,6,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P4,4,4,6]",tributylhexylphosphonium,CCCCCC[P+](CCCC)(CCCC)CCCC,0,0,0,0,0,10,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P4,4,4,10]",tributyldecylphosphonium,CCCCCCCCCC[P+](CCCC)(CCCC)CCCC,0,0,0,0,0,14,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P4,4,4,2]",tributylethylphosphonium,CCCC[P+](CC)(CCCC)CCCC,0,0,0,0,0,7,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P4,4,4,8]",tributyloctylphosphonium,CCCCCCCC[P+](CCCC)(CCCC)CCCC,0,0,0,0,0,12,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P2,2,2,2O2]",(2-ethoxyethyl)triethylphosphonium,CCOCC[P+](CC)(CC)CC,0,0,0,0,0,1,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P2,2,2,2O1]",(2-methoxyethyl)trimethylphosphonium,COCC[P+](CC)(CC)CC,0,0,0,0,0,1,0,3,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P4,4,4,2O2]",(2-ethoxyethyl)tributylphosphonium,CCOCC[P+](CCCC)(CCCC)CCCC,0,0,0,0,0,7,1,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[P2,2,2,4]",triethylbutylphosphonium,CCCC[P+](CC)(CC)CC,0,0,0,0,0,2,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[EMIM],1-ethyl-3-methylimidazolium,CCN1C=C[N+](=C1)C,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[BMIM],1-butyl-3-methylimidazolium,CCCCN1C=C[N+](=C1)C,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[HMIM],1-hexyl-3-methylimidazolium,CCCCCCN1C=C[N+](=C1)C,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
