IL_smiles,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,SPS,MolWt,NumRadicalElectrons,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_MRHI,AvgIpc,HallKierAlpha,Ipc,Kappa1,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA2,EState_VSA8,VSA_EState10,VSA_EState2,VSA_EState5,VSA_EState6,VSA_EState8,VSA_EState9,NumHeterocycles,fr_pyridine,fr_quatN
CCCCN1C=C[N+](=C1)C.COS(=O)(=O)[O-],-0.4274716028535954,-0.6156311771884131,0.5906099018241977,-0.1207725432800453,-0.6858453548339142,-0.16439898730535726,1.283008320410102,0.4478252828597341,0.1913189578169959,0.5613570093655149,0.30411156345731094,0.18475112311048764,-0.1175852800289008,-0.7402116055664085,-0.32799126659707467,-0.5324868005078963,0.6479253333527044,-0.6640209652664929,3.0566885878465837,-0.29037022914157296,-0.4704611772211769,2.2862023594037373,0.39015166748470687,-0.23570226039551576,0.6654775118334912,-0.12551138117323504,-0.43262951177644,0.8044854918635507,0.7799558094381508,-0.17734459263890623,0.19896080091244678,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-0.05074469220906675,1.1131932345288218,-0.1643989873053573,-0.6959048539976065,0.4610620600876835,0.5573835962075638,1.3327955513640317,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.5757248486813792,-0.12843706569359897,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[O-],0.2823684541816033,-0.6156311771884131,0.21517011740433253,-0.6113112729004581,-0.4423191515220055,-0.16439898730535726,0.957983439135566,0.44659290021946735,0.19131895758184014,0.6092986568528389,0.3282418896788253,-0.037344927103680814,-0.1175852800289008,-0.19802639650668954,-0.42759555910102165,-0.5324868005078963,0.6479253333527044,0.2873055134177545,0.5374937236632275,-0.29037022914157296,-0.23717473860521304,-0.3867183411166511,0.39015166748470687,-0.23570226039551576,-0.27421154405144604,-0.15973535602425085,-0.43262951177644,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.19896080091244678,-0.1278472597061993,-0.06192606095029831,-0.562870181002857,-0.13746634740308614,0.6578838092153676,-0.1643989873053573,-0.6959048539976065,0.18495304764045703,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.5757248486813792,0.22852219511251518,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCN1C=C[N+](=C1)C.F[Sb-](F)(F)(F)(F)F,0.6443645079229251,-0.6156311771884131,-1.7298741114669736,-0.10324197828206785,0.11359477692004695,-0.16439898730535726,0.3538195421781934,0.44654473993833904,0.020046354301348324,0.5206077577202515,0.18420604596078055,0.8747928620111921,-0.1175852800289008,-0.2535811508304308,0.21511552533985234,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,1.0691489634142524,-0.3867183411166511,-0.5255831118176617,-0.23570226039551576,-0.27421154405144604,0.980405339708334,-0.43262951177644,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.19896080091244678,-0.1278472597061993,0.1465023800549545,-0.562870181002857,-0.08098112284023086,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,-1.526145057666301,0.5573835962075638,-0.391016476440307,-8.230511386532438,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.5757248486813792,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7603742668778218,0.2009016474009028,-0.022790206154754737,0.8647713596527719,0.4178694513749468,-0.16439898730535726,-0.37851887266532586,0.45177466879813905,0.020046354301348324,0.8276157152809456,0.3444204160809042,0.6028142764548045,-0.1175852800289008,0.7014464987991789,-0.3686131632159041,0.1717191149683979,-1.5861983085027498,1.0919172526227532,-0.9895204854602604,-0.29037022914157296,-0.0038882999892492047,-0.3867183411166511,0.31221743913386957,-0.23570226039551576,1.2829227980938727,1.0500296814078751,-0.43262951177644,-1.200847939378234,-1.1724942371496139,1.4646062526304848,-1.2756812633462207,-1.3210099664148178,0.6787038218943886,-0.562870181002857,1.8896977845530325,0.296383673135844,-0.1643989873053573,1.3489348657656888,0.674650180225625,-1.135062659444253,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,-0.8797678855164494,-0.980912893980329,0.5570860145311556,-0.3892494720807615,2.728450923957483
CC[S+](CC)CC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7603742668778218,0.2009016474009028,-0.022790206154754737,-0.6544355568231318,0.27027606387351144,-0.16439898730535726,-0.7912413764510275,0.45178009166373434,2.0887637689664325,0.8276741794127649,-0.029693314804077015,1.1123287445931904,-0.1175852800289008,0.9383333313515756,-0.35684713707829063,-0.6063055711757588,0.9481662275516651,1.0919172526227532,-0.9895204854602604,-0.29037022914157296,-0.0038882999892492047,-0.3867183411166511,0.31221743913386957,-0.23570226039551576,-1.2941054146963642,2.3775641468741644,-0.43262951177644,-1.200847939378234,-1.1724942371496139,0.6742828596119368,-1.2756812633462207,-1.3210099664148178,0.6787038218943886,-0.562870181002857,1.105349423235089,1.4076365434902463,-0.1643989873053573,1.3489348657656888,0.674650180225625,-1.135062659444253,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.5181379056919815,-1.5486209023663733,-1.7950549357115015,-0.3892494720807615,-0.3665083330689156
CCCC[N+]1(CCCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7603742668778218,0.2009016474009028,-0.022790206154754737,1.1326158132032675,0.507831318427597,-0.16439898730535726,-0.4721260384723923,0.4517746854206098,-0.5768510984347942,0.8276168593653046,0.32761589091613236,0.6028142764548045,-0.1175852800289008,0.6775880395011588,-0.35189967278968004,0.1717191149683979,-1.5861983085027498,1.0919172526227532,-0.9895204854602604,-0.29037022914157296,-0.0038882999892492047,-0.3867183411166511,0.31221743913386957,-0.23570226039551576,1.2829227980938727,1.0500296814078751,-0.43262951177644,-1.200847939378234,-1.1724942371496139,1.4646062526304848,-1.2756812633462207,-1.3210099664148178,0.6787038218943886,-0.562870181002857,1.8896977845530325,0.296383673135844,-0.1643989873053573,1.3489348657656888,0.674650180225625,-1.135062659444253,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,-1.0223281684198846,-0.980912893980329,0.5570860145311556,-0.3892494720807615,2.728450923957483
CCCCN1C=C[N+](=C1)C.C(#N)[N-]C#N,-1.451378866042241,-0.6156311771884131,1.0745204368185608,-0.6877028615634802,-0.9748046419271742,-0.16439898730535726,1.0879933916453806,-1.3728180782289499,0.19131895552853317,-1.6575818124283028,0.36878646973286416,-1.2392764929685907,-0.1175852800289008,-0.8577249056408234,-0.4002304206844818,0.5037789328085562,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.4704611772211769,3.010619472980411,-0.5255831118176617,-0.23570226039551576,-0.27421154405144604,-1.3926115252069127,1.2868933707056196,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.7388650257831777,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-1.1851231378557594,-0.3741324716685751,-0.1643989873053573,1.9381935023442614,0.31896912302112584,0.5573835962075638,1.799984470693981,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.5757248486813792,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCN1C=C[N+](=C1)C.C(#N)[S-],-1.6426239465601467,-0.5527401340130754,1.3003078725388173,-0.8308530819613421,-1.2057668402803534,-0.16439898730535726,2.08079666535669,0.4335025482519561,1.4002697597035334,0.42284826053730973,-0.019055422919128415,-0.024280453561670617,-0.1175852800289008,-1.055449326821539,-0.5528488448748782,0.8691002331633217,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.4704611772211769,-0.3867183411166511,0.046834720373093136,-0.23570226039551576,-0.27421154405144604,0.14618447954143973,0.42713192946458983,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.19896080091244678,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-1.1851231378557594,0.9139632589126023,-0.1643989873053573,-0.6959048539976065,-0.8144838002318996,0.5573835962075638,4.813194381897355,2.803694844043017,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.7122164323590779,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7603742668778218,-0.5527401340130754,-0.022790206154754737,-1.2546934467033286,0.2184230878187121,-0.16439898730535726,-0.06513836105036441,0.4517746356047584,1.4002696408105364,0.8276133532575588,0.3153863321352717,-0.37702123919593844,-0.1175852800289008,1.432205403406626,-0.4417428253003409,-0.6063055711757588,0.6479253333527044,1.2207987075141258,0.5374937236632275,-0.29037022914157296,-0.0038882999892492047,-0.3867183411166511,1.3058864467870752,-0.23570226039551576,-0.27421154405144604,1.0500296814078751,-0.43262951177644,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.6180862300087623,-0.1278472597061993,0.6787038218943886,-0.562870181002857,0.39395569267304315,1.6705542183626385,-0.1643989873053573,1.3489348657656888,0.9381951856059142,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.7122164323590779,-0.980912893980329,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCC[N+]1(CCCC1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7603742668778218,0.2009016474009028,-0.022790206154754737,0.7963885665753894,0.32790758432229694,-0.16439898730535726,-0.37461857409003135,0.451774652177447,0.298014103660412,0.827614571103811,0.2600366158836346,0.6028142764548045,-0.1175852800289008,0.7360227579593313,-0.4207487988081,0.1717191149683979,-1.5861983085027498,1.0919172526227532,-0.9895204854602604,-0.29037022914157296,-0.0038882999892492047,-0.3867183411166511,0.31221743913386957,-0.23570226039551576,1.2829227980938727,1.0500296814078751,-0.43262951177644,-1.200847939378234,-1.1724942371496139,1.4646062526304848,-1.2756812633462207,-1.3210099664148178,0.6787038218943886,-0.562870181002857,1.8896977845530325,0.296383673135844,-0.1643989873053573,1.3489348657656888,0.674650180225625,-1.135062659444253,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,-0.7999482004924446,-0.980912893980329,0.5570860145311556,-0.3892494720807615,2.728450923957483
